ticker,total_msg,vader_mean,vader_median,bullish_pct,bearish_pct
ABT,30,0.21076666666666669,0.0,46.666666666666664,13.333333333333334
A,30,0.17909666666666665,0.0,46.666666666666664,10.0
AOS,30,0.16665000000000002,0.0,36.666666666666664,6.666666666666667
AES,30,0.16143000000000002,0.0129,46.666666666666664,16.666666666666664
MMM,30,0.15156,0.0,43.333333333333336,13.333333333333334
ACN,30,0.06901333333333334,0.0,23.333333333333332,10.0
ABBV,30,0.060379999999999996,0.0,40.0,40.0
AFL,30,0.056793333333333335,0.0,33.33333333333333,20.0
ADBE,30,0.04357333333333334,0.0,36.666666666666664,10.0
AMD,30,-0.10058333333333333,0.0,26.666666666666668,40.0
